pid,jobs_completed_early,early_feedback_density,mean_gap_min,jobs_started_early,session_len_sum_early,session_len_max_early,jobs_exited_early,credit_mean_early,level_prog_mean_early,session_len_at_completion_mean,campaign_prog_mean,exit_rate_early,retention_7d,retention_14d,retention_30d,early_feedback_density_log
p1,1,0.0166666666666667,,2,3,2,2,97.5,0.448165415,4.9225,0.02631579,1,1,1,1,0.0165293019512106
p10,1,0.0166666666666667,,2,17,14,1,60,0,13,0.02631579,0.5,1,1,0,0.0165293019512106
p100,0,0,,1,1,1,0,,,,,0,0,0,0,0
p1000,1,0.0166666666666667,,1,1,1,1,150,1,7,0.02631579,1,0,0,0,0.0165293019512106
p10000,1,0.0166666666666667,,2,6,5,2,157.5,0.262804,5,0.02631579,1,1,0,0,0.0165293019512106
p10001,1,0.0166666666666667,,2,13,12,1,110,0,11,0.02631579,0.5,0,0,0,0.0165293019512106
p10002,2,0.0333333333333333,7.71666666666667,3,32,19,2,90,0,15,0.013157895,0.666666666666667,1,0,0,0.0327898228229909
p10003,0,0,,1,3,3,0,,,,,0,1,1,1,0
p10004,1,0.0166666666666667,,2,9,8,2,316.5,0.442830235,7,0.02631579,1,1,1,1,0.0165293019512106
p10007,3,0.05,24.1416666666667,4,86,59,3,310,0,27.3333333333333,0.03508772,0.75,1,1,1,0.048790164169432
p10008,2,0.0333333333333333,43.9166666666667,2,7,6,2,375,0.5,28,0.039473685,1,1,1,1,0.0327898228229909
p1001,2,0.0333333333333333,51.4333333333333,2,9,8,2,325,0.5,33,0.039473685,1,1,1,1,0.0327898228229909
p10010,0,0,,1,1,1,1,35,0.98749787,,,1,1,1,1,0
p10011,3,0.05,19.4333333333333,4,92,44,3,475,0,30,0.0526315783333333,0.75,1,0,0,0.048790164169432
p10012,1,0.0166666666666667,,2,15,12,2,182.078125,0.22470059,10,0.02631579,1,1,1,0,0.0165293019512106
p10013,3,0.05,24.45,4,124,57,3,475,0,40,0.0526315783333333,0.75,1,1,0,0.048790164169432
p10014,1,0.0166666666666667,,2,8,8,2,127,0.00372742675,8,0.02631579,1,1,1,1,0.0165293019512106
p10015,3,0.05,17.7,4,60,40,5,432.4,0.124279988,20,0.0526315783333333,1.25,1,1,1,0.048790164169432
p10016,2,0.0333333333333333,50.6833333333333,2,7,7,2,375,0.5,31.5,0.039473685,1,1,1,1,0.0327898228229909
p10018,1,0.0166666666666667,,2,9,8,1,150,0,8,0.02631579,0.5,1,0,0,0.0165293019512106
p10019,1,0.0166666666666667,,2,44,25,1,150,0,24,0.02631579,0.5,1,1,1,0.0165293019512106
p1002,1,0.0166666666666667,,1,1,1,1,150,1,10,0.02631579,1,0,0,0,0.0165293019512106
p10020,1,0.0166666666666667,,2,10,9,2,235,0.18243909,8,0.02631579,1,1,1,1,0.0165293019512106
p10021,1,0.0166666666666667,,2,22,19,1,60,0,17,0.02631579,0.5,1,1,1,0.0165293019512106
p10022,1,0.0166666666666667,,2,21,15,1,150,0,15,0.02631579,0.5,0,0,0,0.0165293019512106
p10023,3,0.05,22.0916666666667,4,107,51,3,475,0,35,0.0526315783333333,0.75,0,0,0,0.048790164169432
p10024,2,0.0333333333333333,14,3,51,30,2,157.5,0,22,0.02631579,0.666666666666667,0,0,0,0.0327898228229909
p10025,0,0,,1,0,0,1,0,0.07190385,,,1,0,0,0,0
p10026,0,0,,1,0,0,1,13,0.2207255,,,1,0,0,0,0
p10027,1,0.0166666666666667,,2,3,3,1,725,0,4.9225,0.129561403322221,0.5,0,0,0,0.0165293019512106
p10028,0,0,,1,1,1,1,44,0.9982973,,,1,0,0,0,0
p10029,26,0.433333333333333,1.61866666666667,6,151.280000000001,49,6,8260.32948996292,0.0383843384615385,28.5769230769231,0.129561403322221,1,0,0,0,0.360002734031407
p1003,3,0.05,21.4583333333333,4,97,46,5,548,0.018691394,32.6666666666667,0.0526315783333333,1.25,0,0,0,0.048790164169432
p10030,1,0.0166666666666667,,2,32,27,2,190.5,0.33263975,17,0.02631579,1,0,0,0,0.0165293019512106
p10031,1,0.0166666666666667,,2,7,6,2,150,0.0015507953,6,0.02631579,1,0,0,0,0.0165293019512106
p10032,1,0.0166666666666667,,3,37,24,3,169.770833333333,0.14334254,8,0.02631579,1,1,1,1,0.0165293019512106
p10033,1,0.0166666666666667,,2,8,8,2,150,0.007259735,7,0.02631579,1,1,1,1,0.0165293019512106
p10034,1,0.0166666666666667,,1,1,1,1,150,1,9,0.02631579,1,0,0,0,0.0165293019512106
p10035,1,0.0166666666666667,,2,15,13,1,150,0,13,0.02631579,0.5,0,0,0,0.0165293019512106
p10036,1,0.0166666666666667,,2,64,47,1,150,0,41.3333333333333,0.02631579,0.5,0,0,0,0.0165293019512106
p10037,1,0.0166666666666667,,2,28,24,1,150,0,24,0.02631579,0.5,1,1,1,0.0165293019512106
p10038,1,0.0166666666666667,,2,6,5,2,82.5,0.15521465,4.9225,0.02631579,1,1,1,1,0.0165293019512106
p10039,1,0.0166666666666667,,2,7,6,2,309,0.41386315,5,0.02631579,1,0,0,0,0.0165293019512106
p1004,2,0.0333333333333333,34.0333333333333,2,6,5,2,375,0.5,22,0.039473685,1,1,1,1,0.0327898228229909
p10040,1,0.0166666666666667,,2,10,8,2,159.5,0.016188776,7,0.02631579,1,1,0,0,0.0165293019512106
p10041,1,0.0166666666666667,,2,13,11,2,211.5,0.192212435,10,0.02631579,1,0,0,0,0.0165293019512106
p10043,1,0.0166666666666667,,2,17,15,2,104.5,0.7573412,14,0,1,1,0,0,0.0165293019512106
p10044,1,0.0166666666666667,,2,23,16,1,150,0,15,0.02631579,0.5,0,0,0,0.0165293019512106
p10045,1,0.0166666666666667,,2,41,39,1,0,0,36,0.02631579,0.5,1,1,1,0.0165293019512106
p10046,1,0.0166666666666667,,2,10,9,1,150,0,6,0.02631579,0.5,1,1,0,0.0165293019512106
p10047,0,0,,1,1,1,1,0,0.018044665,,,1,0,0,0,0
p10048,1,0.0166666666666667,,2,10,9,1,100,0,7,0.02631579,0.5,1,1,0,0.0165293019512106
p10049,1,0.0166666666666667,,2,15,15,1,60,0,13,0.02631579,0.5,1,1,1,0.0165293019512106
p10051,1,0.0166666666666667,,2,5,5,1,150,0,4.9225,0.02631579,0.5,1,0,0,0.0165293019512106
p10052,3,0.05,18.15,4,97,44,3,458.333333333333,0,30.6666666666667,0.0526315783333333,0.75,0,0,0,0.048790164169432
p10053,1,0.0166666666666667,,2,9,8,2,156.5,0.035998665,7,0.02631579,1,1,1,1,0.0165293019512106
p10054,2,0.0333333333333333,46.85,2,9,8,2,375,0.5,30.5,0.039473685,1,1,1,1,0.0327898228229909
p10055,3,0.05,23.575,3,59,51,3,475,0.333333333333333,36.3333333333333,0.0526315783333333,1,0,0,0,0.048790164169432
p10056,1,0.0166666666666667,,1,1,1,1,150,1,10,0.02631579,1,0,0,0,0.0165293019512106
p10057,1,0.0166666666666667,,1,1,1,1,150,1,7,0.02631579,1,1,1,1,0.0165293019512106
p10058,1,0.0166666666666667,,2,10,8,1,150,0,8,0.02631579,0.5,1,0,0,0.0165293019512106
p10059,1,0.0166666666666667,,1,1,1,1,150,1,6,0.02631579,1,1,1,1,0.0165293019512106
p1006,3,0.05,24.3916666666667,4,120,56,3,475,0,38.6666666666667,0.0526315783333333,0.75,0,0,0,0.048790164169432
p10060,3,0.05,18.3166666666667,4,95,45,4,259.75,0.172829633333333,33.3333333333333,0.03508772,1,1,1,0,0.048790164169432
p10061,1,0.0166666666666667,,2,17,15,2,150.5,0.010050201,14,0.02631579,1,1,1,1,0.0165293019512106
p10062,3,0.05,24.6833333333333,4,119,57,3,475,0,38.3333333333333,0.0526315783333333,0.75,0,0,0,0.048790164169432
p10063,1,0.0166666666666667,,2,10,9,1,150,0,8,0.02631579,0.5,1,1,1,0.0165293019512106
p10064,2,0.0333333333333333,47.4333333333333,3,66,58,2,330,0,30,0.039473685,0.666666666666667,1,1,0,0.0327898228229909
p10065,1,0.0166666666666667,,2,11,9,1,150,0,8,0.02631579,0.5,0,0,0,0.0165293019512106
p10066,1,0.0166666666666667,,2,11,9,1,150,0,8,0.02631579,0.5,1,1,1,0.0165293019512106
p10067,1,0.0166666666666667,,2,15,13,1,150,0,12,0.02631579,0.5,1,1,1,0.0165293019512106
p10068,3,0.05,25.0166666666667,3,62,54,3,475,0.333333333333333,39.3333333333333,0.0526315783333333,1,0,0,0,0.048790164169432
p10069,1,0.0166666666666667,,2,46,27,1,150,0,25,0.02631579,0.5,0,0,0,0.0165293019512106
p1007,1,0.0166666666666667,,2,5,4,2,167,0.0788395,4.9225,0.02631579,1,1,1,1,0.0165293019512106
p10070,1,0.0166666666666667,,2,10,9,2,172.5,0.20118429,7,0.02631579,1,1,1,1,0.0165293019512106
p10071,1,0.0166666666666667,,2,37,33,1,150,0,32,0.02631579,0.5,1,1,1,0.0165293019512106
p10072,1,0.0166666666666667,,2,8,7,1,150,0,6,0.02631579,0.5,0,0,0,0.0165293019512106
p10073,2,0.0333333333333333,9.78333333333333,3,39,23,2,90,0,18,0.013157895,0.666666666666667,1,1,1,0.0327898228229909
p10074,3,0.05,21.3,4,106,50,3,448.333333333333,0,34.3333333333333,0.0526315783333333,0.75,1,1,0,0.048790164169432
p10075,1,0.0166666666666667,,2,7,6,2,154.5,0.0247316025,6,0.02631579,1,1,1,1,0.0165293019512106
p10076,1,0.0166666666666667,,2,7,6,2,164.5,0.02889171,6,0.02631579,1,1,1,1,0.0165293019512106
p10077,1,0.0166666666666667,,2,9,8,1,150,0,7,0.02631579,0.5,1,1,0,0.0165293019512106
p10078,1,0.0166666666666667,,2,16,12,2,119.5,0.20747973,12,0.02631579,1,1,1,1,0.0165293019512106
p10079,1,0.0166666666666667,,2,17,15,1,150,0,11,0.02631579,0.5,1,0,0,0.0165293019512106
p1008,1,0.0166666666666667,,2,16,13,1,150,0,12,0.02631579,0.5,1,0,0,0.0165293019512106
p10080,1,0.0166666666666667,,2,13,11,1,15,,10,0,0.5,1,1,1,0.0165293019512106
p10081,1,0.0166666666666667,,2,9,8,1,10,0,7,0.02631579,0.5,0,0,0,0.0165293019512106
p10082,1,0.0166666666666667,,2,69,56,1,150,0,41.3333333333333,0.02631579,0.5,0,0,0,0.0165293019512106
p10083,1,0.0166666666666667,,2,32,20,2,171,0.05302716,19,0.02631579,1,1,1,1,0.0165293019512106
p10084,1,0.0166666666666667,,2,49,45,2,191.5,0.067731225,13,0.02631579,1,0,0,0,0.0165293019512106
p10085,1,0.0166666666666667,,2,16,14,1,150,0,14,0.02631579,0.5,1,1,1,0.0165293019512106
p10086,1,0.0166666666666667,,2,19,16,2,161.5,0.2001091,16,0.02631579,1,1,1,1,0.0165293019512106
p10087,1,0.0166666666666667,,2,11,9,2,98.5,0.064823995,8,0.02631579,1,1,1,1,0.0165293019512106
p10088,1,0.0166666666666667,,2,18,14,1,150,0,14,0.02631579,0.5,1,1,1,0.0165293019512106
p1009,1,0.0166666666666667,,2,9,8,1,150,0,7,0.02631579,0.5,1,1,1,0.0165293019512106
p10090,2,0.0333333333333333,49.4333333333333,3,63,56,2,375,0,31.5,0.039473685,0.666666666666667,0,0,0,0.0327898228229909
p10091,1,0.0166666666666667,,2,9,9,1,150,0,9,0.02631579,0.5,0,0,0,0.0165293019512106
p10092,1,0.0166666666666667,,2,11,10,1,60,0,9,0.02631579,0.5,1,1,1,0.0165293019512106
p10093,1,0.0166666666666667,,2,20,19,1,15,,18,0,0.5,1,1,1,0.0165293019512106
p10094,2,0.0333333333333333,35.1,2,6,5,2,375,0.5,22.5,0.039473685,1,0,0,0,0.0327898228229909
p10095,1,0.0166666666666667,,1,58,58,1,1640.0005,0,39,0.129561403322221,1,0,0,0,0.0165293019512106
p10096,1,0.0166666666666667,,2,10,8,1,150,0,7,0.02631579,0.5,1,1,1,0.0165293019512106
p10097,1,0.0166666666666667,,2,13,11,1,110,0,10,0.02631579,0.5,1,1,1,0.0165293019512106
p10098,1,0.0166666666666667,,2,12,11,1,150,0,11,0.02631579,0.5,1,1,1,0.0165293019512106
p10099,1,0.0166666666666667,,2,8,7,2,310.5,0.435332715,6,0.02631579,1,1,1,1,0.0165293019512106
p101,2,0.0333333333333333,41.05,2,6,5,2,375,0.5,25.5,0.039473685,1,0,0,0,0.0327898228229909
p1010,1,0.0166666666666667,,2,13,11,1,150,0,10,0.02631579,0.5,0,0,0,0.0165293019512106
p10100,1,0.0166666666666667,,2,13,11,1,150,0,9,0.02631579,0.5,1,0,0,0.0165293019512106
p10102,0,0,,1,6,6,1,27,0.829951,,,1,0,0,0,0
p10103,1,0.0166666666666667,,2,13,10,2,308,0.4029436,9,0.02631579,1,1,1,1,0.0165293019512106
p10104,2,0.0333333333333333,47.4,3,72,58,2,305,0,33.5,0.039473685,0.666666666666667,1,1,1,0.0327898228229909
p10105,1,0.0166666666666667,,2,27,18,1,150,0,17,0.02631579,0.5,1,1,1,0.0165293019512106
p10106,0,0,,1,1,1,1,19,0.22924753,,,1,0,0,0,0
p10107,0,0,,1,2,2,0,,,,,0,1,1,1,0
p1011,2,0.0333333333333333,50.2,2,10,8,1,150,0,33,0.039473685,0.5,0,0,0,0.0327898228229909
p10110,1,0.0166666666666667,,2,16,13,1,150,0,12,0.02631579,0.5,1,1,1,0.0165293019512106
p10111,0,0,,1,4,4,1,45,0.9438129,,,1,1,1,1,0
p10112,1,0.0166666666666667,,1,0,0,1,150,1,5,0.02631579,1,0,0,0,0.0165293019512106
p10114,2,0.0333333333333333,37.1,2,7,6,2,292.5,0.5,24.5,0.039473685,1,0,0,0,0.0327898228229909
p10115,0,0,,1,1,1,1,20,0.950835,,,1,1,0,0,0
p10116,1,0.0166666666666667,,2,5,5,2,338,0.4716619,5,0.02631579,1,1,0,0,0.0165293019512106
p10117,1,0.0166666666666667,,2,10,9,1,150,0,8,0.02631579,0.5,1,1,1,0.0165293019512106
p10118,0,0,,1,0,0,1,18,0.5892727,,,1,0,0,0,0
p10119,1,0.0166666666666667,,2,9,7,2,206.5,0.10447041,7,0.02631579,1,0,0,0,0.0165293019512106
p1012,1,0.0166666666666667,,2,8,8,2,208,0.189453885,8,0.02631579,1,1,1,1,0.0165293019512106
p10120,1,0.0166666666666667,,2,9,8,2,226,0.38829598,7,0.02631579,1,0,0,0,0.0165293019512106
p10123,1,0.0166666666666667,,2,12,11,1,150,0,10,0.02631579,0.5,1,1,0,0.0165293019512106
p10124,3,0.05,20.3416666666667,4,107,50,3,458.333333333333,0,34.6666666666667,0.0526315783333333,0.75,0,0,0,0.048790164169432
p10125,1,0.0166666666666667,,1,1,1,1,150,1,9,0.02631579,1,0,0,0,0.0165293019512106
p10126,3,0.05,17.6833333333333,4,88,42,4,535,0.02859168,28.3333333333333,0.0526315783333333,1,1,1,1,0.048790164169432
p10127,1,0.0166666666666667,,2,8,7,2,108.5,0.016559841,7,0.02631579,1,1,1,1,0.0165293019512106
p10128,1,0.0166666666666667,,2,8,7,1,150,0,7,0.02631579,0.5,1,1,1,0.0165293019512106
p10129,1,0.0166666666666667,,2,12,11,1,150,0,11,0.02631579,0.5,1,0,0,0.0165293019512106
p1013,1,0.0166666666666667,,2,12,11,1,150,0,10,0.02631579,0.5,0,0,0,0.0165293019512106
p10130,1,0.0166666666666667,,1,1,1,1,150,1,11,0.02631579,1,1,1,1,0.0165293019512106
p10131,3,0.05,6.84166666666667,4,51,22,4,8260.32948996292,0.16981415,15.6666666666667,0.0526315783333333,1,0,0,0,0.048790164169432
p10132,1,0.0166666666666667,,2,13,12,1,150,0,12,0.02631579,0.5,1,1,0,0.0165293019512106
